,0
0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,0
88,0
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,6
114,6
115,6
116,6
117,6
118,6
119,6
120,6
121,6
122,6
123,6
124,6
125,6
126,6
127,5
128,5
129,4
130,4
131,4
132,3
133,3
134,2
135,2
136,2
137,1
138,1
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,3
147,3
148,3
149,4
150,5
151,5
152,6
153,6
154,6
155,6
156,6
157,6
158,6
159,6
160,7
161,7
162,7
163,7
164,7
165,7
166,7
167,7
168,7
169,7
170,7
171,7
172,7
173,7
174,7
175,7
176,7
177,7
178,7
179,7
180,7
181,7
182,7
183,7
184,7
185,7
186,7
187,7
188,7
189,7
190,7
191,7
192,7
193,7
194,6
195,6
196,6
197,6
198,6
199,6
200,5
201,5
202,5
203,5
204,5
205,5
206,5
207,5
208,5
209,5
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,6
221,6
222,6
223,5
224,5
225,5
226,5
227,5
228,5
229,4
230,4
231,4
232,4
233,3
234,4
235,4
236,4
237,4
238,4
239,5
240,6
241,6
242,6
243,6
244,6
245,6
246,6
247,6
248,6
249,6
250,6
251,6
252,6
253,6
254,5
255,3
256,3
257,2
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,1
272,1
273,1
274,1
275,1
276,2
277,2
278,2
279,2
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,3
296,3
297,3
298,3
299,3
300,4
301,3
302,3
303,5
304,5
305,5
306,5
307,5
308,6
309,6
310,6
311,7
312,7
313,7
314,7
315,7
316,7
317,7
318,7
319,7
320,7
321,7
322,7
323,7
324,6
325,6
326,6
327,6
328,6
329,6
330,6
331,6
332,6
333,6
334,6
335,6
336,6
337,6
338,6
339,6
340,6
341,7
342,7
343,7
344,7
345,7
346,7
347,7
348,7
349,7
350,7
351,7
352,7
353,6
354,6
355,6
356,6
357,4
358,4
359,3
360,2
361,2
362,2
363,2
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,2
373,2
374,2
375,2
376,3
377,3
378,3
379,3
380,3
381,3
382,3
383,3
384,3
385,3
386,3
387,3
388,3
389,3
390,3
391,3
392,3
393,3
394,3
395,3
396,3
397,3
398,4
399,4
400,4
401,4
402,4
403,4
404,4
405,4
406,4
407,4
408,4
409,4
410,4
411,4
412,4
413,4
414,4
415,4
416,4
417,4
418,4
419,4
420,3
421,3
422,3
423,5
424,5
425,5
426,6
427,6
428,6
429,6
430,7
431,7
432,7
433,7
434,7
435,7
436,7
437,7
438,7
439,7
440,6
441,6
442,6
443,6
444,6
445,6
446,5
447,5
448,5
449,5
450,5
451,5
452,5
453,5
454,5
455,5
456,5
457,6
458,6
459,6
460,6
461,6
462,7
463,7
464,7
465,7
466,7
467,7
468,7
469,7
470,7
471,7
472,7
473,6
474,6
475,6
476,6
477,6
478,5
479,5
480,5
481,5
482,5
483,5
484,5
485,5
486,5
487,6
488,6
489,6
490,6
491,6
492,6
493,6
494,6
495,6
496,6
497,5
498,5
499,5
500,4
501,4
502,2
503,2
504,2
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,3
515,3
516,3
517,5
518,6
519,6
520,7
521,7
522,7
523,7
524,7
525,7
526,7
527,7
528,7
529,7
530,6
531,6
532,6
533,6
534,6
535,5
536,5
537,4
538,4
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,3
547,5
548,6
549,6
550,6
551,6
552,7
553,7
554,7
555,3
556,3
557,3
558,3
559,7
560,3
561,3
562,3
563,3
564,7
565,7
566,7
567,7
568,7
569,7
570,7
571,7
572,7
573,7
574,7
575,7
576,7
577,7
578,7
579,7
580,6
581,6
582,6
583,6
584,6
585,6
586,6
587,7
588,7
589,7
590,7
591,7
592,7
593,7
594,7
595,7
596,7
597,7
598,7
599,6
600,6
601,6
602,6
603,5
604,5
605,4
606,4
607,4
608,3
609,3
610,2
611,2
612,2
613,2
614,2
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,2
632,2
633,2
634,2
635,2
636,2
637,2
638,3
639,3
640,3
641,3
642,3
643,3
644,3
645,3
646,3
647,3
648,4
649,4
650,4
651,4
652,4
653,5
654,6
655,6
656,6
657,7
658,7
659,7
660,7
661,3
662,3
663,3
664,3
665,3
666,3
667,3
668,3
669,3
670,3
671,3
672,3
673,3
674,3
675,3
676,3
677,3
678,3
679,3
680,3
681,3
682,3
683,3
684,3
685,3
686,3
687,3
688,3
689,3
690,3
691,3
692,3
693,3
694,3
695,3
696,3
697,3
698,3
699,3
700,3
701,3
702,3
703,3
704,3
705,3
706,3
707,3
708,3
709,3
710,3
711,3
712,3
713,3
714,3
715,3
716,3
717,3
718,3
719,3
720,3
721,3
722,3
723,3
724,3
725,3
726,3
727,3
728,3
729,3
730,3
731,3
732,3
733,3
734,3
735,3
736,3
737,3
738,3
739,3
740,3
741,3
742,3
743,3
744,3
745,3
746,3
747,3
748,3
749,3
750,3
751,3
752,3
753,3
754,3
755,3
756,3
757,3
758,3
759,3
760,3
761,3
762,3
763,3
764,3
765,3
766,3
767,3
768,3
769,3
770,3
771,3
772,3
773,3
774,3
775,3
776,3
777,3
778,3
779,3
780,3
781,3
782,3
783,3
784,3
785,3
786,3
787,3
788,3
789,3
790,3
791,3
792,3
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,3
820,3
821,3
822,3
823,3
824,3
825,0
826,0
827,0
828,0
829,3
830,3
831,1
832,1
833,1
834,1
835,3
836,3
837,3
838,0
839,0
840,3
841,3
842,3
843,3
844,3
845,3
846,3
847,3
848,3
849,3
850,3
851,3
852,3
853,3
854,3
855,3
856,3
857,3
858,3
859,3
860,3
861,3
862,3
863,3
864,3
865,3
866,3
867,3
868,3
869,3
870,3
871,3
872,3
873,3
874,4
875,3
876,3
877,3
878,3
879,3
880,3
881,3
